product_code|qty|payment|price_per_unit|payment_date
PROGEN-S-0010|3|642| 214 |2022-02-20 07:39:00
DX-120ST|2|1176| 588 |2022-02-20 10:27:00
A0002|2|2000| 1000 |2022-02-20 02:47:00
SL36200BL|1|65| 65 |2022-02-20 20:58:00
PROGEN-M-0011|1|214| 214 |2022-02-20 01:35:00
A0403-0013|2|110| 55 |2022-02-20 09:37:00
A0405-0002|3|249| 83 |2022-02-20 10:38:00
A0002|2|2000| 1000 |2022-02-20 18:43:00
A0002|3|3000| 1000 |2022-02-20 01:00:00
SL36200BL|3|195| 65 |2022-02-20 02:13:00
PROGEN-S-0010|2|428| 214 |2022-02-20 01:44:00
PP0101-0003|1|199| 199 |2022-02-20 14:59:00
PROGEN-L-0012|1|214| 214 |2022-02-20 17:07:00
A0403-0013|1|55| 55 |2022-02-20 06:16:00
SDCZ50|1|126| 126 |2022-02-20 11:33:00
PP0101-0003|3|597| 199 |2022-02-20 21:13:00
A0403-0013|3|165| 55 |2022-02-20 06:54:00
SL36200BL|2|130| 65 |2022-02-20 08:09:00
A0403-0014|1|90| 90 |2022-02-20 17:15:00
PDA14S|1|793| 793 |2022-02-20 18:08:00
PROGEN-S-0010|2|428| 214 |2022-02-20 02:35:00
A0403-0012|3|105| 35 |2022-02-20 16:57:00
PROGEN-M-0011|3|642| 214 |2022-02-20 14:13:00
A0405-0001|1|128| 128 |2022-02-20 04:58:00
A0001|2|7000| 3500 |2022-02-20 08:36:00
DX-120ST|2|1176| 588 |2022-02-20 04:05:00
PROGEN-L-0012|2|428| 214 |2022-02-20 02:53:00
A0405-0001|1|128| 128 |2022-02-20 15:59:00
SL36200BL|3|195| 65 |2022-02-20 21:11:00
A0403-0014|3|270| 90 |2022-02-20 06:47:00
A0405-0003|3|162| 54 |2022-02-20 14:52:00
A0403-0012|3|105| 35 |2022-02-20 15:28:00
PROGEN-M-0011|1|214| 214 |2022-02-20 03:27:00
SDCZ50|2|252| 126 |2022-02-20 07:06:00
A0405-0003|1|54| 54 |2022-02-20 05:36:00
SDCZ50|2|252| 126 |2022-02-20 20:53:00
A0403-0011|1|16| 16 |2022-02-20 18:58:00
SL36200BL|2|130| 65 |2022-02-20 07:26:00
SDCZ50|3|378| 126 |2022-02-20 15:54:00
A0403-0012|2|70| 35 |2022-02-20 06:09:00
PROGEN-S-0010|3|642| 214 |2022-02-20 04:42:00
CC0904-0003|2|174| 87 |2022-02-20 14:05:00
PP0101-0050|2|226| 113 |2022-02-20 14:25:00
DX-120ST|2|1176| 588 |2022-02-20 18:37:00
A0403-0013|3|165| 55 |2022-02-20 04:56:00
SL36200BL|3|195| 65 |2022-02-20 21:15:00
PROGEN-S-0010|1|214| 214 |2022-02-20 17:28:00
A0405-0002|2|166| 83 |2022-02-20 05:48:00
SDCZ50|1|126| 126 |2022-02-20 15:37:00
CC0904-0003|1|87| 87 |2022-02-20 06:38:00
CC0904-0002|3|420| 140 |2022-02-20 01:12:00
PP0101-0003|3|597| 199 |2022-02-20 13:48:00
A0405-0001|2|256| 128 |2022-02-20 19:24:00
A0002|1|1000| 1000 |2022-02-20 03:52:00
CC0904-0002|3|420| 140 |2022-02-20 09:44:00
PP0101-0003|3|597| 199 |2022-02-20 09:18:00
A0403-0014|2|180| 90 |2022-02-20 01:38:00
