product_code|qty|payment|price_per_unit|payment_date
A0403-0011|1|16| 16 |2022-03-24 19:06:00
A0405-0003|1|54| 54 |2022-03-24 05:36:00
A0405-0002|3|249| 83 |2022-03-24 02:27:00
A0001|1|3500| 3500 |2022-03-24 18:24:00
PROGEN-S-0010|3|642| 214 |2022-03-24 19:46:00
PROGEN-M-0011|3|642| 214 |2022-03-24 08:54:00
SDCZ50|2|252| 126 |2022-03-24 06:47:00
A0403-0014|2|180| 90 |2022-03-24 09:37:00
PROGEN-M-0011|1|214| 214 |2022-03-24 13:01:00
A0403-0011|2|32| 16 |2022-03-24 21:08:00
A0002|2|2000| 1000 |2022-03-24 01:55:00
A0403-0014|3|270| 90 |2022-03-24 06:55:00
A0403-0012|1|35| 35 |2022-03-24 01:36:00
A0002|1|1000| 1000 |2022-03-24 05:37:00
PP0101-0003|2|398| 199 |2022-03-24 08:27:00
A0001|1|3500| 3500 |2022-03-24 19:42:00
DX-120ST|2|1176| 588 |2022-03-24 01:36:00
A0002|3|3000| 1000 |2022-03-24 21:47:00
PROGEN-S-0010|3|642| 214 |2022-03-24 18:56:00
A0001|2|7000| 3500 |2022-03-24 05:01:00
PROGEN-M-0011|3|642| 214 |2022-03-24 03:05:00
A0403-0012|3|105| 35 |2022-03-24 02:50:00
DX-120ST|3|1764| 588 |2022-03-24 04:27:00
PROGEN-L-0012|2|428| 214 |2022-03-24 17:00:00
SL36200BL|1|65| 65 |2022-03-24 15:34:00
A0405-0002|2|166| 83 |2022-03-24 06:06:00
A0001|2|7000| 3500 |2022-03-24 04:00:00
PROGEN-L-0012|2|428| 214 |2022-03-24 17:47:00
A0002|2|2000| 1000 |2022-03-24 07:41:00
A0403-0012|1|35| 35 |2022-03-24 01:32:00
A0403-0012|3|105| 35 |2022-03-24 07:34:00
A0002|2|2000| 1000 |2022-03-24 01:23:00
A0405-0001|1|128| 128 |2022-03-24 01:07:00
A0405-0001|3|384| 128 |2022-03-24 08:03:00
SDCZ50|1|126| 126 |2022-03-24 21:30:00
SL36200BL|1|65| 65 |2022-03-24 02:33:00
