product_code|qty|payment|price_per_unit|payment_date
SDCZ50|1|126| 126 |2022-03-30 07:32:00
A0403-0014|3|270| 90 |2022-03-30 05:40:00
PROGEN-M-0011|2|428| 214 |2022-03-30 14:10:00
PP0101-0050|3|339| 113 |2022-03-30 11:28:00
A0403-0013|1|55| 55 |2022-03-30 12:19:00
A0403-0013|2|110| 55 |2022-03-30 02:26:00
PROGEN-L-0012|1|214| 214 |2022-03-30 04:50:00
SL36200BL|3|195| 65 |2022-03-30 18:22:00
A0403-0011|3|48| 16 |2022-03-30 07:22:00
CC0904-0003|1|87| 87 |2022-03-30 18:11:00
A0403-0014|3|270| 90 |2022-03-30 08:15:00
PROGEN-M-0011|3|642| 214 |2022-03-30 10:31:00
A0403-0011|3|48| 16 |2022-03-30 17:51:00
A0405-0002|3|249| 83 |2022-03-30 07:52:00
PP0101-0050|2|226| 113 |2022-03-30 20:27:00
PROGEN-L-0012|1|214| 214 |2022-03-30 03:43:00
A0405-0001|1|128| 128 |2022-03-30 07:07:00
A0403-0013|1|55| 55 |2022-03-30 04:22:00
SL36200BL|1|65| 65 |2022-03-30 15:10:00
PP0101-0003|2|398| 199 |2022-03-30 21:29:00
A0403-0014|2|180| 90 |2022-03-30 15:37:00
CC0904-0002|2|280| 140 |2022-03-30 13:42:00
A0403-0014|2|180| 90 |2022-03-30 06:30:00
PROGEN-L-0012|2|428| 214 |2022-03-30 07:21:00
PP0101-0050|3|339| 113 |2022-03-30 18:07:00
SL36200BL|3|195| 65 |2022-03-30 11:23:00
A0002|2|2000| 1000 |2022-03-30 15:29:00
A0405-0002|1|83| 83 |2022-03-30 12:54:00
A0001|3|10500| 3500 |2022-03-30 05:40:00
CC0904-0003|3|261| 87 |2022-03-30 06:09:00
PROGEN-L-0012|1|214| 214 |2022-03-30 17:34:00
CC0904-0002|3|420| 140 |2022-03-30 11:30:00
PROGEN-M-0011|1|214| 214 |2022-03-30 17:29:00
A0403-0014|3|270| 90 |2022-03-30 09:40:00
PROGEN-S-0010|3|642| 214 |2022-03-30 07:00:00
A0002|1|1000| 1000 |2022-03-30 07:07:00
PP0101-0050|2|226| 113 |2022-03-30 18:39:00
PP0101-0003|2|398| 199 |2022-03-30 05:28:00
A0403-0013|2|110| 55 |2022-03-30 04:32:00
PP0101-0050|2|226| 113 |2022-03-30 03:52:00
CC0904-0003|2|174| 87 |2022-03-30 06:29:00
PP0101-0003|2|398| 199 |2022-03-30 20:33:00
