product_code|qty|payment|price_per_unit|payment_date
A0405-0003|1|54| 54 |2022-01-02 15:34:00
A0403-0014|3|270| 90 |2022-01-02 09:48:00
PROGEN-M-0011|1|214| 214 |2022-01-02 17:25:00
SL36200BL|2|130| 65 |2022-01-02 17:14:00
A0001|3|10500| 3500 |2022-01-02 19:32:00
PROGEN-L-0012|2|428| 214 |2022-01-02 03:05:00
PP0101-0003|1|199| 199 |2022-01-02 13:02:00
A0001|3|10500| 3500 |2022-01-02 10:21:00
CC0904-0002|3|420| 140 |2022-01-02 21:47:00
A0403-0013|1|55| 55 |2022-01-02 02:26:00
A0405-0002|2|166| 83 |2022-01-02 08:10:00
A0403-0012|1|35| 35 |2022-01-02 09:12:00
A0403-0011|1|16| 16 |2022-01-02 21:08:00
PP0101-0050|1|113| 113 |2022-01-02 15:44:00
A0002|2|2000| 1000 |2022-01-02 14:25:00
A0403-0012|2|70| 35 |2022-01-02 16:41:00
A0403-0013|3|165| 55 |2022-01-02 11:10:00
PP0101-0003|1|199| 199 |2022-01-02 02:06:00
A0403-0014|3|270| 90 |2022-01-02 21:24:00
A0002|1|1000| 1000 |2022-01-02 09:15:00
CC0904-0003|3|261| 87 |2022-01-02 16:07:00
A0405-0001|1|128| 128 |2022-01-02 21:12:00
A0403-0011|2|32| 16 |2022-01-02 01:15:00
PROGEN-M-0011|1|214| 214 |2022-01-02 03:42:00
PP0101-0050|1|113| 113 |2022-01-02 15:54:00
SDCZ50|1|126| 126 |2022-01-02 11:03:00
PROGEN-S-0010|1|214| 214 |2022-01-02 05:09:00
SDCZ50|2|252| 126 |2022-01-02 01:54:00
SL36200BL|3|195| 65 |2022-01-02 02:54:00
A0001|1|3500| 3500 |2022-01-02 11:56:00
PP0101-0050|1|113| 113 |2022-01-02 03:58:00
A0405-0001|1|128| 128 |2022-01-02 21:39:00
PP0101-0003|3|597| 199 |2022-01-02 07:13:00
A0403-0011|1|16| 16 |2022-01-02 15:22:00
A0403-0013|1|55| 55 |2022-01-02 13:15:00
PROGEN-S-0010|3|642| 214 |2022-01-02 09:48:00
A0405-0001|2|256| 128 |2022-01-02 21:32:00
A0403-0013|2|110| 55 |2022-01-02 15:13:00
PROGEN-S-0010|3|642| 214 |2022-01-02 06:16:00
A0405-0002|1|83| 83 |2022-01-02 04:35:00
A0403-0013|2|110| 55 |2022-01-02 04:29:00
PROGEN-M-0011|3|642| 214 |2022-01-02 13:14:00
PDA14S|3|2379| 793 |2022-01-02 08:50:00
A0403-0013|3|165| 55 |2022-01-02 04:16:00
A0403-0014|3|270| 90 |2022-01-02 16:57:00
A0403-0012|2|70| 35 |2022-01-02 06:19:00
CC0904-0002|3|420| 140 |2022-01-02 11:20:00
A0403-0011|3|48| 16 |2022-01-02 05:04:00
A0002|3|3000| 1000 |2022-01-02 01:57:00
PROGEN-S-0010|1|214| 214 |2022-01-02 08:43:00
A0001|2|7000| 3500 |2022-01-02 15:28:00
A0403-0014|1|90| 90 |2022-01-02 14:46:00
PP0101-0050|1|113| 113 |2022-01-02 13:46:00
PROGEN-S-0010|3|642| 214 |2022-01-02 01:28:00
A0001|2|7000| 3500 |2022-01-02 16:41:00
PDA14S|1|793| 793 |2022-01-02 09:14:00
SDCZ50|3|378| 126 |2022-01-02 20:48:00
A0405-0001|3|384| 128 |2022-01-02 09:31:00
PP0101-0003|1|199| 199 |2022-01-02 20:24:00
PROGEN-S-0010|2|428| 214 |2022-01-02 10:08:00
SDCZ50|3|378| 126 |2022-01-02 15:32:00
A0403-0011|3|48| 16 |2022-01-02 20:34:00
A0001|3|10500| 3500 |2022-01-02 06:53:00
A0405-0003|2|108| 54 |2022-01-02 21:49:00
A0405-0001|3|384| 128 |2022-01-02 17:37:00
A0405-0003|2|108| 54 |2022-01-02 10:03:00
SDCZ50|2|252| 126 |2022-01-02 14:48:00
PROGEN-S-0010|3|642| 214 |2022-01-02 14:15:00
DX-120ST|3|1764| 588 |2022-01-02 12:51:00
CC0904-0003|2|174| 87 |2022-01-02 10:22:00
PP0101-0050|2|226| 113 |2022-01-02 12:09:00
A0403-0013|2|110| 55 |2022-01-02 17:23:00
A0405-0002|1|83| 83 |2022-01-02 01:02:00
DX-120ST|1|588| 588 |2022-01-02 07:52:00
CC0904-0002|1|140| 140 |2022-01-02 17:29:00
PP0101-0003|2|398| 199 |2022-01-02 08:16:00
PROGEN-S-0010|3|642| 214 |2022-01-02 19:23:00
A0405-0003|1|54| 54 |2022-01-02 01:50:00
CC0904-0002|3|420| 140 |2022-01-02 02:00:00
A0405-0003|1|54| 54 |2022-01-02 14:57:00
PROGEN-M-0011|3|642| 214 |2022-01-02 05:34:00
PROGEN-S-0010|1|214| 214 |2022-01-02 08:44:00
PROGEN-S-0010|2|428| 214 |2022-01-02 09:50:00
A0403-0014|2|180| 90 |2022-01-02 10:30:00
PDA14S|3|2379| 793 |2022-01-02 20:11:00
PROGEN-M-0011|1|214| 214 |2022-01-02 07:24:00
A0405-0003|3|162| 54 |2022-01-02 11:02:00
A0405-0003|1|54| 54 |2022-01-02 12:59:00
A0405-0001|3|384| 128 |2022-01-02 08:41:00
A0001|2|7000| 3500 |2022-01-02 14:33:00
SL36200BL|1|65| 65 |2022-01-02 20:47:00
SDCZ50|2|252| 126 |2022-01-02 05:07:00
PP0101-0050|3|339| 113 |2022-01-02 14:01:00
PP0101-0003|3|597| 199 |2022-01-02 19:07:00
A0403-0011|1|16| 16 |2022-01-02 11:25:00
DX-120ST|1|588| 588 |2022-01-02 20:03:00
A0001|2|7000| 3500 |2022-01-02 11:18:00
CC0904-0002|2|280| 140 |2022-01-02 13:42:00
CC0904-0002|3|420| 140 |2022-01-02 17:23:00
A0403-0012|3|105| 35 |2022-01-02 09:14:00
CC0904-0003|3|261| 87 |2022-01-02 01:23:00
A0001|1|3500| 3500 |2022-01-02 09:26:00
DX-120ST|2|1176| 588 |2022-01-02 16:43:00
PP0101-0003|2|398| 199 |2022-01-02 12:47:00
A0403-0014|1|90| 90 |2022-01-02 01:50:00
A0002|1|1000| 1000 |2022-01-02 11:18:00
A0405-0001|1|128| 128 |2022-01-02 14:50:00
SDCZ50|3|378| 126 |2022-01-02 17:36:00
DX-120ST|3|1764| 588 |2022-01-02 21:46:00
PP0101-0050|3|339| 113 |2022-01-02 07:30:00
SDCZ50|3|378| 126 |2022-01-02 03:52:00
SDCZ50|2|252| 126 |2022-01-02 10:31:00
PDA14S|1|793| 793 |2022-01-02 06:06:00
PROGEN-M-0011|2|428| 214 |2022-01-02 09:12:00
A0403-0011|1|16| 16 |2022-01-02 21:30:00
A0405-0001|2|256| 128 |2022-01-02 20:05:00
CC0904-0002|2|280| 140 |2022-01-02 04:41:00
PROGEN-M-0011|1|214| 214 |2022-01-02 21:41:00
A0405-0001|2|256| 128 |2022-01-02 13:56:00
SDCZ50|2|252| 126 |2022-01-02 11:00:00
PROGEN-S-0010|1|214| 214 |2022-01-02 02:19:00
SDCZ50|1|126| 126 |2022-01-02 16:17:00
PP0101-0003|2|398| 199 |2022-01-02 01:24:00
A0002|2|2000| 1000 |2022-01-02 04:19:00
A0405-0001|2|256| 128 |2022-01-02 14:35:00
PROGEN-M-0011|2|428| 214 |2022-01-02 08:56:00
A0403-0014|1|90| 90 |2022-01-02 04:32:00
PP0101-0003|3|597| 199 |2022-01-02 08:53:00
A0001|3|10500| 3500 |2022-01-02 04:45:00
A0403-0014|1|90| 90 |2022-01-02 19:38:00
A0405-0002|3|249| 83 |2022-01-02 20:48:00
PDA14S|3|2379| 793 |2022-01-02 19:54:00
A0405-0003|3|162| 54 |2022-01-02 17:14:00
A0405-0001|1|128| 128 |2022-01-02 09:16:00
A0405-0001|1|128| 128 |2022-01-02 15:57:00
PP0101-0003|3|597| 199 |2022-01-02 09:14:00
PDA14S|2|1586| 793 |2022-01-02 15:27:00
CC0904-0003|2|174| 87 |2022-01-02 08:46:00
CC0904-0002|3|420| 140 |2022-01-02 10:38:00
PDA14S|3|2379| 793 |2022-01-02 04:04:00
PP0101-0003|3|597| 199 |2022-01-02 15:15:00
