product_code|qty|payment|price_per_unit|payment_date
A0001|3|10500| 3500 |2022-01-24 20:45:00
PROGEN-M-0011|2|428| 214 |2022-01-24 17:58:00
A0405-0003|2|108| 54 |2022-01-24 16:22:00
PP0101-0050|2|226| 113 |2022-01-24 08:01:00
A0405-0001|1|128| 128 |2022-01-24 14:31:00
A0001|3|10500| 3500 |2022-01-24 03:11:00
PROGEN-L-0012|1|214| 214 |2022-01-24 17:53:00
PROGEN-M-0011|1|214| 214 |2022-01-24 04:23:00
PROGEN-M-0011|2|428| 214 |2022-01-24 13:40:00
A0403-0013|2|110| 55 |2022-01-24 10:36:00
CC0904-0002|1|140| 140 |2022-01-24 03:44:00
SL36200BL|2|130| 65 |2022-01-24 20:23:00
A0405-0002|3|249| 83 |2022-01-24 17:34:00
A0403-0011|3|48| 16 |2022-01-24 04:09:00
A0403-0014|3|270| 90 |2022-01-24 16:54:00
A0405-0003|1|54| 54 |2022-01-24 09:09:00
SL36200BL|2|130| 65 |2022-01-24 14:16:00
PROGEN-S-0010|2|428| 214 |2022-01-24 05:57:00
A0403-0014|1|90| 90 |2022-01-24 11:08:00
CC0904-0003|2|174| 87 |2022-01-24 16:51:00
A0405-0003|3|162| 54 |2022-01-24 10:47:00
PP0101-0003|2|398| 199 |2022-01-24 11:43:00
A0403-0012|3|105| 35 |2022-01-24 03:01:00
CC0904-0002|2|280| 140 |2022-01-24 19:31:00
CC0904-0002|2|280| 140 |2022-01-24 02:27:00
A0405-0001|3|384| 128 |2022-01-24 07:15:00
A0002|1|1000| 1000 |2022-01-24 14:22:00
A0403-0011|3|48| 16 |2022-01-24 20:01:00
PROGEN-S-0010|1|214| 214 |2022-01-24 14:32:00
A0001|2|7000| 3500 |2022-01-24 05:39:00
A0403-0011|2|32| 16 |2022-01-24 17:34:00
A0403-0012|2|70| 35 |2022-01-24 21:20:00
A0403-0013|3|165| 55 |2022-01-24 16:40:00
A0403-0012|1|35| 35 |2022-01-24 01:57:00
SL36200BL|1|65| 65 |2022-01-24 13:19:00
PROGEN-M-0011|1|214| 214 |2022-01-24 09:39:00
SL36200BL|1|65| 65 |2022-01-24 20:08:00
A0405-0002|2|166| 83 |2022-01-24 04:37:00
SL36200BL|2|130| 65 |2022-01-24 17:09:00
SL36200BL|3|195| 65 |2022-01-24 15:57:00
PP0101-0050|1|113| 113 |2022-01-24 15:26:00
PROGEN-L-0012|3|642| 214 |2022-01-24 12:37:00
A0405-0002|2|166| 83 |2022-01-24 03:48:00
SDCZ50|3|378| 126 |2022-01-24 19:30:00
CC0904-0003|2|174| 87 |2022-01-24 06:54:00
SDCZ50|2|252| 126 |2022-01-24 17:45:00
A0403-0013|2|110| 55 |2022-01-24 11:23:00
CC0904-0003|3|261| 87 |2022-01-24 21:18:00
CC0904-0002|2|280| 140 |2022-01-24 19:19:00
PDA14S|1|793| 793 |2022-01-24 20:33:00
PROGEN-L-0012|2|428| 214 |2022-01-24 01:16:00
PROGEN-S-0010|1|214| 214 |2022-01-24 13:09:00
PROGEN-S-0010|1|214| 214 |2022-01-24 14:29:00
A0403-0012|1|35| 35 |2022-01-24 05:54:00
A0403-0013|3|165| 55 |2022-01-24 02:48:00
DX-120ST|1|588| 588 |2022-01-24 03:47:00
A0403-0013|3|165| 55 |2022-01-24 16:50:00
A0001|2|7000| 3500 |2022-01-24 05:43:00
A0405-0002|1|83| 83 |2022-01-24 10:12:00
A0403-0012|3|105| 35 |2022-01-24 05:35:00
